Points,Estimated_Pi,Error(%)
1000,3.172,0.967896
2000,3.1,-1.32394
4000,3.137,-0.146189
8000,3.1765,1.11114
16000,3.15475,0.418811
32000,3.14388,0.0726493
64000,3.14313,0.0487761
128000,3.14338,0.0567338
256000,3.14245,0.0273897
512000,3.14169,0.00301906
1024000,3.13965,-0.0618863
2048000,3.14263,0.0329849
4096000,3.14247,0.0279492
8192000,3.14207,0.0151422
16384000,3.14143,-0.00525731
32768000,3.14155,-0.00134838
65536000,3.14173,0.00435377
131072000,3.14178,0.00590704
262144000,3.14149,-0.00322222
524288000,3.14151,-0.00272608
1048576000,3.14167,0.00256577
2097152000,3.14161,0.000516534
4194304000,3.14162,0.000942101
8388608000,3.1416,0.000223489
16777216000,3.14163,0.00103963
33554432000,3.14159,3.27604e-06
67108864000,3.14158,-0.000272808
